id,date,session_start_time,session_end_time,event_start_time,event_end_time,timezone,session_title,title,type,speakers,description,location,format,registration_url,visible,expandable
TUT001,2026-08-31,1:00 PM,2:30 PM,1:00 PM,2:30 PM,America/New_York,Pre-Conference Online Tutorials,Deploying Research and Education Apps on ACCESS and NAIRR Resources with iDLab and OneSciencePlace,tutorial,"Amit Chourasia, Benjamin Winjum, Choonhan Youn, and Jerome Ronquillo","The NSF ACCESS and NAIRR ecosystems provide researchers and educators with access to advanced computing, data, and AI resources, yet many users still face practical barriers to using command-line workflows common on HPC and AI resources. This tutorial introduces iDLab, an NSF-funded effort to advance federated interactive computing and data environments, and OneSciencePlace, the composable platform that enables the creation of science gateways, HPC/AI portals, research applications, and data publication environments via a low-code/no-code interface. Participants will learn how OneSciencePlace enables applications to be deployed and accessed via a web browser by individual researchers, classrooms, research groups, campus programs, and broader consortia. The tutorial will focus on hands-on use and deployment of applications on selected ACCESS and NAIRR resources, aligning with iDLab’s goal of making advanced computing and data resources easier to use across institutions. Examples will include AI inference and machine learning classification via interactive web applications such as Jupyter, interactive VNC applications such as Linux Desktop, and batch command-line applications on HPC systems. Participants will also review more complex application interfaces and create a simple app with a custom web form for parameters, inputs, and execution. This tutorial builds on two well-attended OneSciencePlace tutorials delivered at Gateways 2024 and Gateways 2025. It extends them by placing greater emphasis on deploying applications on ACCESS and NAIRR resources, introducing newer OneSciencePlace capabilities, and situating the work within the broader iDLab effort. By the end of the tutorial, attendees will understand how a single user-facing gateway can simplify access to distributed HPC and AI systems while supporting the reproducibility, provenance, reuse, and publication of computational applications. Project website: https://OneSciencePlace.org",Online,Virtual,https://ucsd.zoom.us/meeting/register/PniKg1B2TmSgmgQ3cOzmFw,TRUE,TRUE
TUT002,2026-09-01,1:00 PM,2:30 PM,1:00 PM,2:30 PM,America/New_York,Pre-Conference Online Tutorials,AI-Native Science with Galaxy,tutorial,Tyler Collins and Ahmed Awan,"This tutorial introduces participants to the Galaxy Project, an open source platform designed to make computational research more accessible, reproducible, and transparent. After an overview of the platform's interface and core design goals, participants will work through a complete, hands-on metagenomic analysis — used here as a vehicle to examine how AI capabilities, both built into Galaxy and integrated from external sources, can be applied within a real-world analysis. Additionally, we will also have a discussion of their current capabilities and limitations. Designed for a mixed audience of developers, scientists, and educators, the session assumes no prior experience with Galaxy. Through a short lecture and guided exercises, participants will explore workflow construction, tool access, and reproducibility practices, as well as practical ways to incorporate AI assistance into their research. By the end of the 90-minute session, participants will have hands-on experience running a metagenomic analysis on Galaxy and a grounded understanding of how AI tools can support real-world computational research workflows in Galaxy, as well as where their current limitations lie.",Online,Virtual,https://ucsd.zoom.us/meeting/register/e3bEKzzqQ2qx9odU24Mguw,TRUE,TRUE
TUT003,2026-09-02,1:00 PM,4:00 PM,1:00 PM,4:00 PM,America/New_York,Pre-Conference Online Tutorials,"Designing Frequently Asked Questions and Knowledge Bases for Science Gateways: Tutorial on Question Design, Help Architecture, and AI-Ready Documentation",tutorial,"Noreen Whysel, Shari Thurow, and Bev Corwin","Effective user support documentation, including frequently asked questions (FAQs) and structured knowledge bases, is a recognized and important component of usable, sustainable Science Gateway infrastructure. Complex, collaborative environments like Science Gateways require structured support documentation to improve usability and discoverability, particularly as access to these systems is increasingly mediated by artificial intelligence (AI). The authors audited Science Gateway websites listed in the Science Gateways Community Institute (SGCI) catalog and found that 92% do not provide an FAQ or structured self-service help documentation. This gap directly limits researchers' self-sufficiency and AImediated access to gateway resources. This tutorial addresses that gap via information architecture (IA) principles, humancentered design methods, and emerging human-centered artificial intelligence (HAI) heuristics. A human-in-the-loop approach to FAQ curation and maintenance anchors these methods, ensuring that both human users and large language model (LLM)-powered interfaces can locate, access, and accurately interpret help content. These methods apply to both new and existing Science Gateway help systems. Attendees will examine three FAQ and knowledge base design patterns and apply question-generation strategies grounded in both human expertise and AI. Participants leave with an FAQ design checklist and wireframe templates with specifications, all immediately applicable to improving usability, findability, and accessibility in their own gateway environments. This tutorial is intended for Science Gateway researchers, developers, and educators seeking to improve researcher self-sufficiency and ensure help content is accurately found and interpreted by both human users and AI-powered interfaces.",Online,Virtual,https://ucsd.zoom.us/meeting/register/FilL0ToyTJG255cddmSIzw,TRUE,TRUE
TUT004,2026-09-08,1:00 PM,4:00 PM,1:00 PM,4:00 PM,America/New_York,Pre-Conference Online Tutorials,Integrating Data Tools and Interactives with Open Educational Resources: From Creation to Publishing to Teaching,tutorial,"Drew LaMar, Sam Donovan, and Deborah Rook","Science gateways can achieve broader impacts through the creation of teaching materials, like Open Educational Resources (OER), that utilize their gateway’s scientific data and computational tools. However, many educators and researchers remain unsure how to create, enrich, and publish them effectively. This hands-on tutorial guides participants through the full OER lifecycle, from authoring and interactive tool development to publishing and classroom integration. Participants will be introduced to the landscape of education gateways and OER authoring platforms, including Gala, PreTeXt, and Quarto, before diving into practical experience creating their own learning module using Quarto on Posit Cloud. The tutorial then explores how data tools, such as Observable and Jupyter Notebooks, and modern WebAssembly-based technologies, such as Quarto Live and Shinylive, can transform static content into dynamic, interactive learning experiences. The final portion of the tutorial covers publishing workflows, as well as strategies for effectively deploying OERs in teaching contexts. By the end of the session, participants will leave with a clear pathway for developing and sharing OERs within their own gateway communities.",Online,Virtual,https://ucsd.zoom.us/meeting/register/IGQmC18HRcSdjuLGk_a5-w,TRUE,TRUE
TUT005,2026-09-09,1:00 PM,4:00 PM,1:00 PM,4:00 PM,America/New_York,Pre-Conference Online Tutorials,"Building AI-Enabled Gateways for Data Publication, Discovery, and Analysis with Globus",tutorial,Vas Vasiliadis and Lee Liming,"Motivated by the growing data sharing and collaboration needs in the research enterprise, we will describe how Globus services may be used to dramatically increase the value of research products. In this tutorial we will demonstrate how to easily generate and deploy a data portal—without hosting infrastructure—and automatically generate and ingest metadata into a search index, enabling data publication that meets FAIRness mandates while ensuring compliance with security and privacy regimes. We will then evolve the portal to a science gateway by adding remote computation via functions-as-a-service (FaaS), making the data reusable by collaborators. Finally, we will introduce the Globus Model Context Protocol (MCP) server and demonstrate how complex remote computation tasks can be delegated to AI agents, allowing the research pipeline to scale without human effort.",Online,Virtual,https://ucsd.zoom.us/meeting/register/qE3U0HBKS4-Ulz-8LfhYag,TRUE,TRUE
TUT006,2026-09-11,1:00 PM,4:00 PM,1:00 PM,4:00 PM,America/New_York,Pre-Conference Online Tutorials,Looping the AI Lifecycle: Automated Training and LLM-Driven Evaluation via Tapis v3,tutorial,"Anagha Jamthe, Wei Zhang, Joe Stubbs, Nathan Freeman, and Christian Garcia","This tutorial provides researchers with a comprehensive, hands-on introduction to advanced, reproducible Machine Learning (ML) workflows using the production-grade services of the Tapis v3 platform. Focusing on the complete machine learning engineering pipeline, participants will learn how to ""loop"" the AI lifecycle by orchestrating automated model training and executing sophisticated, LLM-driven evaluations directly on distributed computational resources. Through practical, step-by-step exercises, we will demonstrate how to seamlessly manage infrastructure using the Tapis Application Programming Interface (API) and the intuitive Tapis User Interface (UI). The session will deeply emphasize the integration of various Tapis core capabilities alongside specialized services, specifically launching Tapis jobs for automated training and FlexServ for LLM inferencing to build distributed reproducible scientific AI workflows. By the end of this tutorial, researchers and engineers will be fully empowered to efficiently develop, deploy, evaluate, and maintain automated AI lifecycles within their own research paradigms.

**Attendee Preparation:** To participate in the hands-on portions of the tutorial, attendees should create and activate a TACC account in advance by visiting [here](https://accounts.tacc.utexas.edu/register).",Online,Virtual,https://ucsd.zoom.us/meeting/register/BvqPWzMHRI-jdZhMvgSAgA,TRUE,TRUE
E0001,2026-09-24,9:15 AM,10:00 AM,,,,Keynote:1 Michael Schatz,,Keynote,,,,,,,
E0002,2026-09-24,10:30 AM,12:00 PM,10:30 AM,10:42 AM,America/New_York,"Session 1: Platforms, Portals and Federation",,,,,,,,,
E0003,2026-09-24,,,10:42 AM,10:56 AM,America/New_York,"Session 1: Platforms, Portals and Federation",,,,,,,,,
E0004,2026-09-24,,,10:56 AM,11:10 AM,America/New_York,"Session 1: Platforms, Portals and Federation",,,,,,,,,
